sample_name,pct_N_bases,pct_covered_bases,longest_no_N_run,num_aligned_reads,fasta,bam,qc_pass
PHLON20-SARS00455_S42_L001,3.55,96.45,18043,333201,PHLON20-SARS00455_S42_L001.primertrimmed.consensus.fa,PHLON20-SARS00455_S42_L001.mapped.primertrimmed.sorted.bam,TRUE
PHLON20-SARS00450_S37_L001,0.24,99.76,29833,593812,PHLON20-SARS00450_S37_L001.primertrimmed.consensus.fa,PHLON20-SARS00450_S37_L001.mapped.primertrimmed.sorted.bam,TRUE
PHLON20-SARS00474_S61_L001,0.24,99.76,29831,680680,PHLON20-SARS00474_S61_L001.primertrimmed.consensus.fa,PHLON20-SARS00474_S61_L001.mapped.primertrimmed.sorted.bam,TRUE
PHLON20-SARS00442_S29_L001,7.69,92.32,10765,394598,PHLON20-SARS00442_S29_L001.primertrimmed.consensus.fa,PHLON20-SARS00442_S29_L001.mapped.primertrimmed.sorted.bam,TRUE
PHLON20-SARS00433_S20_L001,11.51,88.49,7003,353582,PHLON20-SARS00433_S20_L001.primertrimmed.consensus.fa,PHLON20-SARS00433_S20_L001.mapped.primertrimmed.sorted.bam,TRUE
PHLON20-SARS00417_S4_L001,0.31,99.70,27769,695014,PHLON20-SARS00417_S4_L001.primertrimmed.consensus.fa,PHLON20-SARS00417_S4_L001.mapped.primertrimmed.sorted.bam,TRUE
PHLON20-SARS00414_S1_L001,0.28,99.72,29797,348679,PHLON20-SARS00414_S1_L001.primertrimmed.consensus.fa,PHLON20-SARS00414_S1_L001.mapped.primertrimmed.sorted.bam,TRUE
PHLON20-SARS00424_S11_L001,6.74,93.26,10842,664313,PHLON20-SARS00424_S11_L001.primertrimmed.consensus.fa,PHLON20-SARS00424_S11_L001.mapped.primertrimmed.sorted.bam,TRUE
PHLON20-SARS00457_S44_L001,1.98,98.02,18671,465418,PHLON20-SARS00457_S44_L001.primertrimmed.consensus.fa,PHLON20-SARS00457_S44_L001.mapped.primertrimmed.sorted.bam,TRUE
PHLON20-SARS00463_S50_L001,3.72,96.28,18046,516364,PHLON20-SARS00463_S50_L001.primertrimmed.consensus.fa,PHLON20-SARS00463_S50_L001.mapped.primertrimmed.sorted.bam,TRUE
PHLON20-SARS00458_S45_L001,2.26,97.74,18609,497566,PHLON20-SARS00458_S45_L001.primertrimmed.consensus.fa,PHLON20-SARS00458_S45_L001.mapped.primertrimmed.sorted.bam,TRUE
PHLON20-SARS00475_S62_L001,0.25,99.75,29828,831804,PHLON20-SARS00475_S62_L001.primertrimmed.consensus.fa,PHLON20-SARS00475_S62_L001.mapped.primertrimmed.sorted.bam,TRUE
PHLON20-SARS00467_S54_L001,0.60,99.40,27711,456447,PHLON20-SARS00467_S54_L001.primertrimmed.consensus.fa,PHLON20-SARS00467_S54_L001.mapped.primertrimmed.sorted.bam,TRUE
